Service_ID,Service_Name,Target_Business_Type,Price_Category,Language_Support,Location_Area,Description,Match_Quality
1001,Payroll Processing,e-commerce,high,both,delhi,"Monthly employee salary calculation, disbursement, and compliance reporting.",high
1002,Financial Audit,restaurant,high,both,remote,Independent annual financial statement verification and compliance check.,low
1003,Business Registration,restaurant,low,hindi,remote,Complete guidance and filing for establishing a new business entity.,low
1004,Advanced Tax Filing,restaurant,medium,regional,remote,Comprehensive annual tax submission and financial planning.,medium
1005,SEO Optimization,tech startup,high,regional,delhi,Advanced search engine ranking strategy and implementation for product visibility.,medium
1006,Social Media Setup,retail,medium,both,mumbai,Creation and optimization of initial social media profiles (Instagram/Facebook).,medium
1007,Financial Audit,e-commerce,high,regional,delhi,Independent annual financial statement verification and compliance check.,medium
1008,SEO Optimization,tech startup,medium,regional,delhi,Advanced search engine ranking strategy and implementation for product visibility.,low
1009,Contract Review,retail,premium,hindi,remote,Legal review and drafting of standard client/vendor contracts and agreements.,high
1010,Basic Accounting,freelancer,premium,english,bengaluru,Simple monthly bookkeeping and tax preparation for freelancer.,high
1011,Financial Audit,clinic,high,hindi,remote,Independent annual financial statement verification and compliance check.,low
1012,SEO Optimization,retail,low,both,remote,Advanced search engine ranking strategy and implementation for product visibility.,high
1013,Financial Audit,retail,low,english,remote,Independent annual financial statement verification and compliance check.,high
1014,Social Media Setup,clinic,medium,hindi,chennai,Creation and optimization of initial social media profiles (Instagram/Facebook).,medium
1015,Financial Audit,e-commerce,premium,hindi,remote,Independent annual financial statement verification and compliance check.,medium
1016,Digital Marketing Strategy,tech startup,medium,regional,remote,Development of a 6-month online marketing and advertisement plan.,medium
1017,Customer Support Setup,clinic,high,hindi,mumbai,Implementation of a modern ticketing and customer relationship management system (CRM).,high
1018,Customer Support Setup,tech startup,low,regional,mumbai,Implementation of a modern ticketing and customer relationship management system (CRM).,high
1019,Social Media Setup,clinic,high,both,remote,Creation and optimization of initial social media profiles (Instagram/Facebook).,high
1020,Business Registration,tech startup,premium,hindi,remote,Complete guidance and filing for establishing a new business entity.,low
1021,SEO Optimization,tech startup,high,both,remote,Advanced search engine ranking strategy and implementation for product visibility.,high
1022,Advanced Tax Filing,retail,high,both,delhi,Comprehensive annual tax submission and financial planning.,medium
1023,Website Design (Basic),freelancer,low,regional,remote,Single-page website design with core functionality and contact form.,medium
1024,Customer Support Setup,retail,low,regional,delhi,Implementation of a modern ticketing and customer relationship management system (CRM).,medium
1025,Basic Accounting,freelancer,medium,both,remote,Simple monthly bookkeeping and tax preparation for freelancer.,high
1026,Contract Review,freelancer,medium,english,remote,Legal review and drafting of standard client/vendor contracts and agreements.,medium
